phrase,value
callable,string
"'edgar','savisaar'",PER
"'savisaar',",PER
"'siim','kallas'",PER
"'jüri','ratas'",PER
"'mart','luik'",PER
"'ansip',",PER
"'jürgen','ligi'",PER
"'andrus','ansip'",PER
"'priit',",PER
"'indrek',",PER
"'juhan','parts'",PER
"'putin',",PER
"'taavi','rõivas'",PER
"'mart','helme'",PER
"'kadri','simson'",PER
"'urmas','reinsalu'",PER
"'urmas','jaagant'",PER
"'kaja','kallas'",PER
"'marina','kaljurand'",PER
"'rail','baltic'",PER
"'kallas',",PER
"'ossinovski',",PER
"'madis','kimmel'",PER
"'martin','helme'",PER
"'mart',",PER
"'priit','hõbemäg'",PER
"'rein','lang'",PER
"'kersti','kaljulaid'",PER
"'reinsalu',",PER
"'jüri',",PER
"'aaviksoo',",PER
"'ekre',",PER
"'mart','laar'",PER
"'jevgeni','ossinovski'",PER
"'rein',",PER
"'urve','palo'",PER
"'kristen','michal'",PER
"'marek',",PER
"'arnold','rüütel'",PER
"'jaak','aaviksoo'",PER
"'rain','rosimannus'",PER
"'ilves',",PER
"'yana','toom'",PER
"'toomas','hendrik','ilves'",PER
"'heldur',",PER
"'ainar',",PER
"'urmas','paet'",PER
"'hanno','pevkur'",PER
"'urmas',",PER
"'mailis','reps'",PER
"'margus','tsahkna'",PER
"'hannes',",PER
"'sven','mikser'",PER
"'priit','toobal'",PER
"'rail','baltica'",PER
"'strandberg',",PER
"'andrus',",PER
"'tsahkna',",PER
"'villu','reiljan'",PER
"'simson',",PER
"'priidu',",PER
"'rait','marune'",PER
"'neinar','seli'",PER
"'lennart','meri'",PER
"'kõlvart',",PER
"'eiki','nestor'",PER
"'edgar',",PER
"'andres',",PER
"'kristiina','ojuland'",PER
"'sandor','liive'",PER
"'jürgen',",PER
"'mihhail','kõlvart'",PER
"'eerik-niiles','kross'",PER
"'silver','meikar'",PER
"'taavi','aas'",PER
"'donald','trump'",PER
"'parts',",PER
"'toomas','hendrik'",PER
"'marju','lauristin'",PER
"'laar',",PER
"'keit','pentus-rosimannus'",PER
"'toomas',",PER
"'margus','allikmaa'",PER
"'tõnis','lukas'",PER
"'urmas','sõõrumaa'",PER
"'kuku',",PER
"'juhan',",PER
"'allar','jõks'",PER
"'keit','pentus'",PER
"'obama',",PER
"'juncker',",PER
"'elmar','vaher'",PER
"'ossinovsk',",PER
"'aivar',",PER
"'kadri',",PER
"'reps',",PER
"'jevgeni','ossinovsk'",PER
"'tiit',",PER
"'toobal',",PER
"'peeter',",PER
"'jürgen','lig'",PER
"'taavi',",PER
"'indrek','neivelt'",PER
"'ratas',",PER
"'martin',",PER
"'meri',",PER
"'meelis',",PER
"'jaanus',",PER
"'rainer','vakra'",PER
"'rai','baltic'",PER
"'kaarel',",PER
"'järvik',",PER
"'paavo','pettai'",PER
"'jaan',",PER
"'ken-mart','vaher'",PER
"'rüütel',",PER
"'jüri','mõis'",PER
"'jeltsin',",PER
"'andres','anvelt'",PER
"'laine','randjärv'",PER
"'sven',",PER
"'paet',",PER
"'silver',",PER
"'eldur',",PER
"'pevkur',",PER
"'ruussaar',",PER
"'ülle','madis'",PER
"'eiki',",PER
"'kalle','muuli'",PER
"'kaljurand',",PER
"'ain','seppik'",PER
"'stalin',",PER
"'tero','taskila'",PER
"'helme',",PER
"'hillary','clinton'",PER
"'meelis','atonen'",PER
"'vladimir','putin'",PER
"'marko','mihkelson'",PER
"'artur',",PER
"'siim',",PER
"'janek',",PER
"'air','baltic'",PER
"'rosimannus',",PER
"'jaan','männik'",PER
"'mihhail','korb'",PER
"'herman','simm'",PER
"'vahur','kraft'",PER
"'talvik',",PER
"'sven','sester'",PER
"'aadu','must'",PER
"'apple',",PER
"'helir-valdor','seeder'",PER
"'vjatšeslav','leedo'",PER
"'mart','järvik'",PER
"'andres','herkel'",PER
"'janek','mägi'",PER
"'danske',",PER
"'mihkel',",PER
"'enn',",PER
"'cameron',",PER
"'ardo','hansson'",PER
"'toomas','kümmel'",PER
"'ahto','lobjakas'",PER
"'tiit','ojasoo'",PER
"'kaur','kender'",PER
"'jüri','luik'",PER
"'huawei',",PER
"'toom',",PER
"'ilmar','raag'",PER
"'jaanus','karilaid'",PER
"'nilsson',",PER
"'robert','kitt'",PER
"'jaak','aab'",PER
"'aivar','rehe'",PER
"'ants',",PER
"'luik',",PER
"'tõnis',",PER
"'tarmo',",PER
"'ignar',",PER
"'tammsaare',",PER
"'indrek','saar'",PER
"'tarand',",PER
"'raivo','aeg'",PER
"'priit','pärn'",PER
"'repinski',",PER
"'kersti',",PER
"'kalle',",PER
"'allar','jõksi'",PER
"'anne',",PER
"'igor','gräzin'",PER
"'kadri','simsoni'",PER
"'paavo','nõgene'",PER
"'remo','holsmer'",PER
"'peeter','ernits'",PER
"'kaljulaid',",PER
"'henn','põlluaas'",PER
"'mihkel','oviir'",PER
"'kruuda',",PER
"'jüri','pihl'",PER
"'oliver','kruuda'",PER
"'jaan','toots'",PER
"'michal',",PER
"'aivar','riisalu'",PER
"'kalev','lillo'",PER
"'valdo','randpere'",PER
"'hillar','teder'",PER
"'alar','karis'",PER
"'tiina','kangro'",PER
"'trump',",PER
"'tarmo','vahter'",PER
"'ülle',",PER
"'marko',",PER
"'jaan','tootsi'",PER
"'mikk',",PER
"'jaak','allik'",PER
"'eino',",PER
"'leedo',",PER
"'marko','pomerants'",PER
"'kaia','iva'",PER
"'raimond','kaljulaid'",PER
"'kaimar','karu'",PER
"'aleksei',",PER
"'ene','ergma'",PER
"'tiina',",PER
"'jüri','adams'",PER
"'angela','merkel'",PER
"'liisa','pakosta'",PER
"'eerik-niiles','krossi'",PER
"'taavi','rõivase'",PER
"'märt','rask'",PER
"'hannes','rumm'",PER
"'edgar','savisaart'",PER
"'rannar','vassiljev'",PER
"'meerits',",PER
"'mati','alaver'",PER
"'reiljan',",PER
"'baltic',",PER
"'kender',",PER
"'rein','taagepera'",PER
"'vili','savisaar'",PER
"'nestor',",PER
"'mihkel','raud'",PER
"'janukovitš',",PER
"'olga','ivanova'",PER
"'kingo',",PER
"'hans',",PER
"'piia',",PER
"'riho','terras'",PER
"'erki',",PER
"'mihhail',",PER
"'andres','lipstok'",PER
"'urmas','kaju'",PER
"'mihhail','stalnuhhin'",PER
"'andrei','hvostov'",PER
"'jüri','raidla'",PER
"'tanel','ross'",PER
"'erkki','raasuke'",PER
"'jaanus','piirsalu'",PER
"'facebooki',",PER
"'urmas','kruuse'",PER
"'tomberg',",PER
"'brexit',",PER
"'oviir',",PER
"'toomas','luman'",PER
"'toivo',",PER
"'siiri','sisask'",PER
"'ivar','padar'",PER
"'sander',",PER
"'anne','sulling'",PER
"'herkel',",PER
"'alaver',",PER
"'boriss','jeltsin'",PER
"'vakra',",PER
"'olari','taal'",PER
"'lauri',",PER
"'andrus','kivirähk'",PER
"'urmas','klaas'",PER
"'endel','lippmaa'",PER
"'mikk','salu'",PER
"'raul','rebane'",PER
"'kross',",PER
"'oleg','ossinovski'",PER
"'edgar','savisaarest'",PER
"'kalle','palling'",PER
"'siret','kotka'",PER
"'mailis','repsi'",PER
"'arvo','sarapuu'",PER
"'tanel','kiik'",PER
"'heimar','lenk'",PER
"'ultima','thule'",PER
"'kalle','klandorf'",PER
"'signe',",PER
"'lennart',",PER
"'klandorf',",PER
"'lukas',",PER
"'liberty',",PER
"'risto','berendson'",PER
"'astok',",PER
"'silver','meikari'",PER
"'lauri','laasi'",PER
"'iivi','anna','masso'",PER
"'tunne','kelam'",PER
"'jana',",PER
"'hannes','võrno'",PER
"'oudekki','loone'",PER
"'hardo','pajula'",PER
"'raivo',",PER
"'maria',",PER
"'ivo','parbus'",PER
"'elmar',",PER
"'märt',",PER
"'michael',",PER
"'jüri','ratasel'",PER
"'muuli',",PER
"'kalle','laanet'",PER
"'anvelt',",PER
"'gräzin',",PER
"'barack','obama'",PER
"'jakunin',",PER
"'hendrik','agur'",PER
"'andrus','veerpalu'",PER
"'hanno','tomberg'",PER
"'skype',",PER
"'riina','sikkut'",PER
"'hekre',",PER
"'margus',",PER
"'jüri','pihli'",PER
"'arvo','pärt'",PER
"'arnold',",PER
"'singer','vinger'",PER
"'erik',",PER
"'clinton',",PER
"'tõnis','mägi'",PER
"'rainer',",PER
"'tanel',",PER
"'ivar',",PER
"'mati',",PER
"'tiit','vähi'",PER
"'lotman',",PER
"'toomas','mattson'",PER
"'stalnuhhin',",PER
"'vaher',",PER
"'risto',",PER
"'rain',",PER
"'taskila',",PER
"'tanel','rossi'",PER
"'marika','priske'",PER
"'rein','kilk'",PER
"'jana','toom'",PER
"'kaarel','tarand'",PER
"'dressen',",PER
"'rai','baltica'",PER
"'vassiljev',",PER
"'mart','kadastik'",PER
"'hindrek',",PER
"'neeme','järvi'",PER
"'business',",PER
"'jüri','rata'",PER
"'liina','kersna'",PER
"'arto','aas'",PER
"'eston','kohver'",PER
"'allan','kiil'",PER
"'mihhail','kõlvarti'",PER
"'arumäe',",PER
"'monica','rand'",PER
"'ain',",PER
"'martti',",PER
"'agu',",PER
"'märten','ross'",PER
"'vladimir',",PER
"'kristjan',",PER
"'maxima',",PER
"'neivelt',",PER
"'laaneots',",PER
"'tõnis','palts'",PER
"'praxis',",PER
"'paavo',",PER
"'jaak','jõerüüt'",PER
"'jürgen','ligil'",PER
"'signe','kivi'",PER
"'gorbatšov',",PER
"'kivirähk',",PER
"'mihhail','lotman'",PER
"'tamm',",PER
"'mihkelson',",PER
"'juhan','kivirähk'",PER
"'heiki','kranich'",PER
"'ardo','ojasalu'",PER
"'ivo','linna'",PER
"'jaak','joala'",PER
"'rõivas',",PER
"'hitler',",PER
"'priit','toobali'",PER
"'jaak','madisson'",PER
"'luts',",PER
"'liisa','oviir'",PER
"'martin','repinski'",PER
"'toomas','tõnis'",PER
"'kristiina','kallas'",PER
"'priit',",PER
"'rein',",PER
"'kersti',",PER
"'hannes',",PER
"'indrek',",PER
"'aivar',",PER
"'mihkel',",PER
"'jaak',",PER
"'peeter',",PER
"'margus',",PER
"'ilves',",PER
"'mart',",PER
"'toomas',",PER
"'jürgen',",PER
"'ants',",PER
"'jüri',",PER
"'mari',",PER
"'lauri',",PER
"'taavi',",PER
"'luik',",PER
"'ain',",PER
"'kalev',",PER
"'rosimannus',",PER
"'edgar',",PER
"'savisaar',",PER
"'urmas',",PER
"'tõnis',",PER
"'raivo',",PER
"'meelis',",PER
"'enn',",PER
"'andrei',",PER
"'marek',",PER
"'tsahkna',",PER
"'sven',",PER
"'juhan',",PER
"'jaanus',",PER
"'siim',",PER
"'martin',",PER
"'tiit',",PER
"'mihhail',",PER
"'tõnu',",PER
"'andres',",PER
"'andrus',",PER
"'tarmo',",PER
"'kadri',",PER
"'kallas',",PER
"'erik',",PER
"'keit',",PER
"'vaher',",PER
"'ansip',",PER
"'jaan',",PER
"'marko',",PER
"'putin',",PER
"'mati',",PER
"'erki',",PER
"'paavo',",PER
"'madis',",PER
"'ott',",PER
"'kalle',",PER
"'aleksei',",PER
"'helme',",PER
"'vladimir',",PER
"'reinsalu',",PER
"'arvo',",PER
"'tanel',",PER
"'kalju',",PER
"'sergei',",PER
"'facebook',",PER
"'keskerakond',",ORG
"'reformierakond',",ORG
"'riigikogu',",ORG
"'irl',",ORG
"'postimees',",ORG
"'nato',",ORG
"'keskpäevatund',",ORG
"'eesti','energia'",ORG
