name,freq,value
string,integer,string
hans,15,PER
eerik,9,PER
andrus ansip,242,PER
meelis,35,PER
olev esula,1,PER
vadim,2,PER
juskin,1,PER
margus,11,PER
sven,31,PER
siim kallas,439,PER
deniss borodits,1,PER
jukuminek,1,PER
borodits,3,PER
jüri,90,PER
eiki,29,PER
kerviel,2,PER
andres,54,PER
toomas hendrik,47,PER
meri,36,PER
lasna,1,PER
heimar lenk,13,PER
häkkinen,1,PER
molly,3,PER
raimo,3,PER
evelin,9,PER
baran,1,PER
batory,1,PER
toomas henrik,2,PER
hannes hanso,9,PER
clyde,1,PER
toomas,44,PER
oleg ljadov,2,PER
aleksei,17,PER
juhan,42,PER
ivan,9,PER
gunnar,6,PER
fostermiller,1,PER
alma,4,PER
oviir,14,PER
allar jõks,42,PER
mihkel oviir,19,PER
indrek teder,9,PER
thomas,2,PER
taavi,37,PER
ainar ruussaar,415,PER
argo,8,PER
peeteli,1,PER
ansip,303,PER
onemar,1,PER
marvi,1,PER
jeesus,8,PER
maila,1,PER
gates,2,PER
aleksandr,7,PER
indrek,214,PER
hardo pajula,12,PER
hedvig,3,PER
vallesten,1,PER
ken,3,PER
olav,6,PER
paet,31,PER
urmas paet,71,PER
sue,1,PER
beatrice,1,PER
magnus,4,PER
nora nora,1,PER
sanomate,1,PER
kallas,120,PER
jüri pihli,11,PER
meelis atonen,27,PER
loorents,3,PER
estrada,2,PER
stasi,1,PER
tootsi,5,PER
edgar savisaar,717,PER
margus tsahkna,68,PER
ruth,2,PER
stalina,1,PER
liina tõnisson,5,PER
anto liivat,1,PER
simson,57,PER
hannes,66,PER
tsahkna,59,PER
liina,3,PER
arte sven,1,PER
strandberg,61,PER
untergang,1,PER
marek strandberg,195,PER
endrekson,1,PER
semper,5,PER
kaie,5,PER
reet,6,PER
kaarel,34,PER
jolanda,1,PER
karl,6,PER
kelly,9,PER
gatesile,1,PER
sans,2,PER
margus allikmaa,44,PER
cooney,1,PER
faktumi,1,PER
ariko,1,PER
laine avio,1,PER
sirje,8,PER
rein,85,PER
diana,7,PER
reinsalu vaher,2,PER
hans h,2,PER
ene ergma,17,PER
smart,2,PER
siim sukles,4,PER
raivo,12,PER
andres siitan,4,PER
tõnu kaljuste,5,PER
paul hillier,1,PER
mason,2,PER
paul,7,PER
proos,1,PER
ann siitan,1,PER
olav ehala rein rannap aarnesalu,1,PER
kripke,1,PER
järvik,34,PER
arvo pärt,11,PER
pajur,1,PER
tamur tsäkko,9,PER
marika,8,PER
enestam,1,PER
nils niitra,6,PER
tõnismägi,4,PER
toomas luman,14,PER
villu reiljan,59,PER
merko,9,PER
sven pert,1,PER
kruuda,19,PER
heiti india,1,PER
jõhvi kukrus,1,PER
lemminkäinen,4,PER
lotila,3,PER
ants,21,PER
urmas,70,PER
martin helme helme,1,PER
tarmo vahter,18,PER
hanspeter martin,1,PER
samaeli,1,PER
emori,6,PER
mooses,5,PER
arnold,11,PER
mikk marran,3,PER
aaviksoo,90,PER
tanel tein,1,PER
indrek kanniku,1,PER
real,1,PER
indrek neivelt,37,PER
sedia,1,PER
vambola olli,1,PER
rein lang,93,PER
katrin,1,PER
juhan aare,2,PER
andrus blok,4,PER
karzai,7,PER
ainar,72,PER
jaanus,35,PER
piia,15,PER
ilja,4,PER
pixar,1,PER
erika,7,PER
tiit,39,PER
books david,1,PER
andrus,61,PER
kaia,4,PER
juliette,1,PER
einstein,6,PER
roman,7,PER
edgar savisaar rein,1,PER
oskar wahid,1,PER
edgar,55,PER
aivar,40,PER
ideon rein,2,PER
urmas reinsalu,148,PER
mare andrus,1,PER
sandberg,1,PER
triin,4,PER
volkonski,1,PER
kärt,4,PER
dima,2,PER
neeme järvit,1,PER
keit pentus,42,PER
singer vinger,11,PER
badenis,1,PER
kadõrov,2,PER
putin,193,PER
kaido,6,PER
jelena,5,PER
veiko liis,1,PER
gaddafi,2,PER
neo,1,PER
ago,3,PER
rob,2,PER
piiraks,1,PER
ülle,18,PER
reiljan,16,PER
kenmart vaher,1,PER
murat,1,PER
marek,84,PER
viiu,2,PER
teini paul,1,PER
taburi,1,PER
rein murula,1,PER
olesja,1,PER
hamasile,1,PER
spice,2,PER
tiia,7,PER
ludwig,1,PER
brzezinski,1,PER
niall ferguson,1,PER
aleksei lotman,1,PER
aldo leopold,1,PER
nikolai gogoli,1,PER
valeria,1,PER
jüri vilms,5,PER
jaan tõnisson,2,PER
kaarel eenpalu,1,PER
angelina,2,PER
jüri jaanson,3,PER
johannes,5,PER
days,1,PER
majakovsk,1,PER
aleks,1,PER
ultima thule,13,PER
ensto salumi,1,PER
kuno,1,PER
moonika,2,PER
andreas reinberg,1,PER
reinberg,1,PER
harry,6,PER
timberg,3,PER
wimberg,2,PER
scott gomez,2,PER
timbergile,1,PER
marko,18,PER
ivo paulus,1,PER
hans andrus ansip,1,PER
pädaste,1,PER
mart,105,PER
tegemis,1,PER
ain,10,PER
uno mereste,1,PER
andrejev,1,PER
maie,9,PER
paalberg belobrovtsev,1,PER
rain rosimannus,75,PER
jüri pihl,19,PER
jüri tamm,4,PER
karel,5,PER
andreas,7,PER
viljasavisaar toomas,1,PER
le pen,2,PER
rosalint,1,PER
oleg,5,PER
martti,10,PER
eneliis semper,2,PER
tony,3,PER
jaana,4,PER
pevkuri,5,PER
maxima x,1,PER
subaru,1,PER
salum,1,PER
udam,1,PER
ulst,1,PER
sigmar,1,PER
david,4,PER
varrak,6,PER
brigitta,1,PER
vladimir putin,27,PER
guilini,1,PER
putin kgb,1,PER
medvedjev,4,PER
feliks dzerz,2,PER
neevo,1,PER
tuuli koch,8,PER
maksim,4,PER
savisaar,648,PER
cookile,1,PER
wikileaks,6,PER
yoko,2,PER
andrew,1,PER
evald,2,PER
sei,1,PER
rakturbas,1,PER
johan bäckman,5,PER
bäckman,2,PER
marek standberg,2,PER
ruussaar,30,PER
brown,3,PER
rauno,3,PER
inga,3,PER
hannes astok,257,PER
rain rosimannus eerika,1,PER
harri,4,PER
ivi eenmaa,1,PER
pihli jüri,1,PER
ain seppik,28,PER
maria,12,PER
argo ideon,9,PER
liis,8,PER
vaarik henrik roonemaa liisa,1,PER
marko mihkelson,27,PER
sixten hei,1,PER
juhan viiding,6,PER
august alle,1,PER
marelle,1,PER
jõulude,1,PER
erik,11,PER
viiding,2,PER
kalle klandorf,13,PER
peeter,38,PER
seppik,5,PER
lennart meri,56,PER
paadermaa,1,PER
malik,1,PER
garbo ideon,1,PER
paavo pettai,34,PER
sandra,2,PER
ivo parbus,12,PER
inge,1,PER
laansalu,2,PER
jörg haider,1,PER
clinton,11,PER
ivo,4,PER
kati,4,PER
keith,1,PER
kalam,1,PER
tõnis mägi,11,PER
ainar ruussaar kersti,1,PER
edgar tiit,1,PER
salazarile,1,PER
jaan,34,PER
parliament,1,PER
julia,3,PER
walkeri,1,PER
priidu,57,PER
aavo,2,PER
hageni,1,PER
edgar keith,1,PER
luik,21,PER
tiina,17,PER
kersti,20,PER
eriksson,1,PER
samuel,1,PER
pinguta mõtlep,1,PER
rene,6,PER
semperi ojasukeenu,1,PER
young,2,PER
kristen,4,PER
randel länts,2,PER
rainer,11,PER
saarpolli,1,PER
black spacecomi,1,PER
lee,5,PER
oliver kruuda,19,PER
aadu,7,PER
needer,1,PER
debussy,1,PER
mastella,1,PER
leo kunnas,7,PER
jüri saare,1,PER
artur,27,PER
medical,1,PER
ansip savisaar,4,PER
holl,1,PER
estelle,2,PER
galina,1,PER
neljas,1,PER
andrus saare,3,PER
kaldre,2,PER
peeter kaldre,1,PER
tom,8,PER
robert antropov,2,PER
jaan toots,19,PER
marta,7,PER
aleksander blok,1,PER
puskini,1,PER
aleksander,6,PER
oskar,4,PER
marko reikop,3,PER
toivo,14,PER
kalle,20,PER
pisike karin,1,PER
tambet,1,PER
allar jõksi,20,PER
jüri adams,17,PER
roh,1,PER
tapa,3,PER
liidia,1,PER
alex,2,PER
armani,1,PER
xmineva,1,PER
maido,5,PER
adams,3,PER
jacques,1,PER
mike,4,PER
orwell,6,PER
eddie,2,PER
mazarini,2,PER
finnish,1,PER
gyenes,1,PER
vello,2,PER
mati songisepp,2,PER
kaimo järvik,1,PER
aidla,1,PER
elmar,12,PER
parbus,3,PER
bocelli,1,PER
kallaste,2,PER
kallo,6,PER
kallo ottawa,1,PER
kia,2,PER
sulev vedler,4,PER
kaja kallas,137,PER
kristiina ojuland,54,PER
antropov,2,PER
adams jaanus,1,PER
evelyn,9,PER
idavirumaa ojuland,1,PER
elias,2,PER
vili savisaar toomas,1,PER
peeter kreitzberg,3,PER
kreitzberg,2,PER
supo,1,PER
anu toots,3,PER
peeter kreitzbergi,1,PER
urve palo,85,PER
georgi bõstrov,1,PER
robert närska,2,PER
romulus tiitunen,1,PER
severstali,1,PER
jürgen,53,PER
klaara,1,PER
tanel,11,PER
keerberg,2,PER
soots,3,PER
siiri sisask,14,PER
berk vaher,1,PER
eva,2,PER
bulgakov,1,PER
kylie,1,PER
age,1,PER
vesk mati,1,PER
andres põder,1,PER
elliott,1,PER
mihkel lüdig,1,PER
jakob,3,PER
karl õiger,1,PER
hoffmeyer,1,PER
valton,1,PER
beardsley,1,PER
aldo wos,2,PER
wesley,1,PER
pärnat tuulse,1,PER
loviisa,1,PER
zemin,1,PER
mae juske,1,PER
kadri simson,160,PER
allik,9,PER
gadahn,1,PER
signe,13,PER
krista,7,PER
robert menning robert manning,1,PER
robert menningi,1,PER
wikileaksile,1,PER
liis cullison,1,PER
niort,1,PER
stendhal,1,PER
spacecomi,2,PER
kim,3,PER
ivar,11,PER
riinile,1,PER
orest,1,PER
andero,1,PER
jürgen ligi,253,PER
ivar padar,14,PER
tiit meren,2,PER
harald nugiseksi,1,PER
enn,23,PER
mati,11,PER
brian eno,1,PER
kati murutar helen,1,PER
jaan tootsi,18,PER
payton,3,PER
vissak,1,PER
paap,3,PER
matteus,2,PER
marju lauristin,47,PER
renate,2,PER
toots,7,PER
pentus,9,PER
kadri,40,PER
michal jüri,1,PER
silver meikar,50,PER
käände gazprom,1,PER
elion,4,PER
frankenstein,2,PER
astra,1,PER
imre perli,1,PER
seli,8,PER
camus,2,PER
maia,2,PER
chris,1,PER
andrei,5,PER
danuta,1,PER
indrek neivelti,7,PER
bergman toomas,1,PER
irja,1,PER
viljalaanaru,1,PER
laanaru,1,PER
maasik,2,PER
sakari maasik,1,PER
agu,10,PER
tabeli,1,PER
veeber,1,PER
meos,1,PER
ivanov,9,PER
mihhail kasjanov,1,PER
stalin,28,PER
janukovits,1,PER
stockman,1,PER
alla rein,1,PER
procter,1,PER
obama,42,PER
mubarakile,1,PER
malle,1,PER
sarkozy merkel,1,PER
jensen,3,PER
gavin,1,PER
vesely,1,PER
cameron,23,PER
talts,1,PER
tootsman,1,PER
dracula,2,PER
tõnis,21,PER
eenpalu,1,PER
vitsut,1,PER
toomas vitsu,1,PER
luitsalu,1,PER
illar luitsalu,1,PER
aivo,2,PER
anne,20,PER
lipponen,1,PER
ergma,8,PER
margit,4,PER
palmas,1,PER
rompuy,2,PER
felix,2,PER
maidla,3,PER
intertoomas hendrik,1,PER
gutenbergi,1,PER
toomas erik,2,PER
tööstusjüri,1,PER
martinson milder,1,PER
kagame,1,PER
vajaduste,1,PER
riho terras,15,PER
adson,2,PER
herman simm,26,PER
riisalo,1,PER
rene toomse,3,PER
valeri,5,PER
theo,1,PER
elmo,1,PER
nüganen,1,PER
hardo,7,PER
maimu berg,1,PER
tõnu kaljuste linnar,1,PER
ja olesk,1,PER
lennart,13,PER
matkur,1,PER
easyjet,2,PER
vallo toomet,6,PER
siim,27,PER
märt,12,PER
triin bergmann,1,PER
katrin bergmann,1,PER
tehver,1,PER
ainar ruussaarpidavam,1,PER
toobal,39,PER
elts,1,PER
adorno,1,PER
bond felix,1,PER
aili,2,PER
danone,1,PER
triobet,1,PER
emorile,1,PER
adamson,1,PER
liisa,3,PER
faktum ariko,1,PER
joel,3,PER
priit toobal,63,PER
thaksin,1,PER
anu,6,PER
lea,3,PER
no rein,2,PER
pontul,1,PER
suunda rein,1,PER
kivirähk juhan,1,PER
tiido,2,PER
hanna,2,PER
steven,1,PER
oruman,1,PER
pärt,4,PER
adobe,1,PER
ivars,2,PER
dus rein,1,PER
steve,3,PER
sarah,3,PER
kaido simmermann,6,PER
liz,1,PER
jüri ratas evelyn,1,PER
lattaga,1,PER
erki,15,PER
cohen,1,PER
tannen,1,PER
bruno,2,PER
rafael nadal,1,PER
susan,5,PER
mikael,2,PER
vaclav vikipeedia,1,PER
mikkol,1,PER
allan,8,PER
mae,5,PER
kristen michal,85,PER
connie,1,PER
google trends,1,PER
rolling estonians,2,PER
väljase,1,PER
aarne,7,PER
ilus,1,PER
franz,3,PER
ken-mart vaher,34,PER
juhan partsist,3,PER
hope,1,PER
keit,9,PER
pentu,1,PER
kristen michael,1,PER
kajar lemberi,2,PER
sonera,2,PER
kaleva kekkonen,1,PER
keit pentu,1,PER
remy,1,PER
panso,1,PER
daravica,1,PER
ardo hanson,7,PER
varro varro,1,PER
jaak aaviksoo,76,PER
aviks,1,PER
alban,3,PER
jeltsin,33,PER
grace,2,PER
johann gottlieb fichte,1,PER
hillar,7,PER
sandor liive,54,PER
elering,6,PER
edison,1,PER
gunnar okk,3,PER
indrek neivelt indrek neivelt,1,PER
piret,5,PER
astanas,2,PER
andrus andres vaher,1,PER
gogol,1,PER
anu saagim,2,PER
milosevici,1,PER
gujana a-proov,1,PER
peep,6,PER
marvet,2,PER
anu välba,1,PER
urmas vaino,4,PER
laar,45,PER
ander,3,PER
vespucci,7,PER
saar polli,2,PER
lauri vahtre,7,PER
linux,1,PER
juku,4,PER
mikk,18,PER
klandorf,13,PER
arvo,8,PER
mihhail kõlvart,53,PER
antov,1,PER
mihhail,15,PER
luka,1,PER
alain,1,PER
michael,12,PER
kõlvart,56,PER
absolu,3,PER
helgi,2,PER
juhan parts,198,PER
kredexile,1,PER
karin,5,PER
gaso,1,PER
jyrki katainen,2,PER
dream,1,PER
stream,2,PER
mattson,2,PER
tiit vähi,11,PER
juri lotman,4,PER
lotman,11,PER
val,2,PER
endrik,6,PER
ruussaar kersti,1,PER
raid,2,PER
sarkozy,8,PER
ingrid,3,PER
desmond,1,PER
natukene essen,1,PER
juncker,42,PER
six,1,PER
trans,1,PER
nazarbajev,4,PER
nursultan,2,PER
nursultan nazarbajev,5,PER
steni,1,PER
gaddaf,3,PER
toomas energyle,1,PER
arnold schwarzenegger,1,PER
alonso,2,PER
jefferson,1,PER
seimas,1,PER
vanda,1,PER
harrison ford,1,PER
van rompuy,3,PER
rene rein,1,PER
rein minka märten ross,1,PER
mika,4,PER
arte,1,PER
rein minka,2,PER
märten ross,10,PER
ross,4,PER
minka,1,PER
lipstok,5,PER
andres bergmann,1,PER
rein kaarepere,2,PER
soonets jannsen,1,PER
arts,4,PER
stina,2,PER
sylvester,1,PER
rubina,1,PER
toomas mattson,11,PER
ardo,4,PER
goya,1,PER
tuste,1,PER
eemeez,2,PER
benz,2,PER
gaston,1,PER
ille,1,PER
torgu,1,PER
rein rein,1,PER
leino,1,PER
esta tatter,1,PER
andres arrak,1,PER
arrak,1,PER
andres lipstok,15,PER
angelo,1,PER
ardo hansson,23,PER
latex,1,PER
urmas kaju,15,PER
ivan vassiljevits,1,PER
osama,3,PER
pamela,2,PER
snoras,2,PER
veiko,2,PER
raul,5,PER
under,2,PER
markets,2,PER
lukashenko,1,PER
ellen,2,PER
ruudi,1,PER
fukuokas,1,PER
jaan toomik,1,PER
jason,3,PER
marin,6,PER
iivi,1,PER
masso,1,PER
laadimis,1,PER
agassi,1,PER
avo,3,PER
hendrik,4,PER
kailil,1,PER
mihhail stalnuhhin,15,PER
stalnuhhin,11,PER
potjomkin,1,PER
sky,6,PER
tõnu,8,PER
ratas,37,PER
jüri ratas,416,PER
mitt,6,PER
kaidi,2,PER
ahti heinla,1,PER
jaan tallinn,2,PER
soft,1,PER
wesen,1,PER
egle,4,PER
sulev,8,PER
anders tsahknale,1,PER
ben,4,PER
vaiko epliku,1,PER
saddam,3,PER
gansen,1,PER
anatoli,3,PER
ashton,3,PER
jakimenko,1,PER
ashtoni,1,PER
toomla,1,PER
rein toomla,4,PER
toomas sildam,8,PER
toomas sildami,1,PER
toomas endrik,2,PER
tarmo,21,PER
tegeli,2,PER
sanguin,1,PER
the game,1,PER
sulev valner,2,PER
heiki valner,1,PER
patrick,1,PER
zahkna,7,PER
peeter mardna,1,PER
argyre,1,PER
benitez,1,PER
vill ben,1,PER
matrossov,1,PER
nada,1,PER
keijo,5,PER
jaakson,1,PER
parker,1,PER
atko,2,PER
laine rande,1,PER
ostap bender,1,PER
taal,4,PER
jaak aaviksoo polar,1,PER
pork,1,PER
philip morris,4,PER
kait,2,PER
janno,3,PER
andrei hvostov,15,PER
elle,2,PER
greg,1,PER
fanny,1,PER
reinsalu,92,PER
darist,2,PER
vassili,2,PER
onistar,1,PER
marx,9,PER
valdo,4,PER
kevin,1,PER
cox,3,PER
indrek neivelti blogide,1,PER
ilves,74,PER
arnold rüütel,79,PER
uwe,1,PER
edgar savisaar toomas hendrik,1,PER
larissa,1,PER
seli neinar seli,1,PER
uudelepp,1,PER
marko miljan,1,PER
marat,2,PER
masaru,2,PER
skanska,1,PER
nordeconi,1,PER
paulus,2,PER
paula x,1,PER
brook,2,PER
helju,2,PER
priit kutser,6,PER
ainar ruussaar meelis atonen,1,PER
singer vingeri praha,1,PER
juske,5,PER
sven sesteri,4,PER
stas,3,PER
silje larsen,1,PER
vilosius,2,PER
vladimir,10,PER
jeesus kristus,5,PER
riho,3,PER
marati,1,PER
patten,1,PER
gatesi,1,PER
manda,1,PER
stewart,2,PER
sulu,1,PER
kadi,7,PER
aleksius,1,PER
kirill,4,PER
max,2,PER
vahur kraft,26,PER
jäägeri,1,PER
angela merkel,17,PER
brand,2,PER
toolse,1,PER
zaitsev,1,PER
pro,6,PER
ants juske,1,PER
abrams,7,PER
tarvo,1,PER
rumessen,2,PER
magee,1,PER
alar,4,PER
pal,2,PER
tiiu,9,PER
gerd kanter,1,PER
aris ameerika,1,PER
vassekin,1,PER
rein kaie,1,PER
võrts,1,PER
kristjan,10,PER
viktor,4,PER
saarinen,2,PER
jaan manitski,4,PER
manitski,5,PER
sommerfeldt,1,PER
arvi,1,PER
asso,2,PER
janek kalv,1,PER
janek kalvi,7,PER
aleksandr skoblov,1,PER
janek,27,PER
tiina mitt,1,PER
ellemann,1,PER
kiilt,1,PER
baranova,1,PER
amelie elering,1,PER
sirl,2,PER
gore,2,PER
sander,14,PER
air baltic,27,PER
airbaltic,3,PER
sposato angott,1,PER
riia riia,1,PER
flick,1,PER
baltic,16,PER
baltica baltica,1,PER
ladegasti omar,1,PER
alissa,1,PER
lig,5,PER
danhammer,2,PER
geographic,1,PER
tero taskila,28,PER
sten tamkivi,2,PER
lauri vahtrele,1,PER
vahtre,2,PER
siiri,3,PER
inga jagomäe,1,PER
maarja,7,PER
dental,1,PER
timo,5,PER
saul niinistö,6,PER
ledger,1,PER
kellegile,1,PER
salme,1,PER
simm,9,PER
katja,3,PER
tõnis lukas,44,PER
lukas,13,PER
kannik,1,PER
enn tarto,1,PER
jaanus reisner lik,1,PER
